
========================================
DATASET: ../TSPLIB/usa13509.tsp
NEW RUN STARTED: Tue Jun 30 07:58:38 2026
========================================
Time: 0.0000 | Cost: 131662124339
Time: 4.66435 | Cost: 131537469340
Time: 9.32879 | Cost: 131445942595
Time: 13.9932 | Cost: 131364268202
Time: 18.6576 | Cost: 131278505764
Time: 23.3219 | Cost: 131220605286
Time: 27.9863 | Cost: 131166016203
Time: 32.6507 | Cost: 131113713305
Time: 37.315 | Cost: 131063435427
Time: 41.9794 | Cost: 131014753768
Time: 46.6437 | Cost: 130968643686
Time: 51.3081 | Cost: 130919938461
Time: 55.9725 | Cost: 130866906759
Time: 60.6369 | Cost: 130825926271
Time: 65.3012 | Cost: 130786605625
Time: 69.9656 | Cost: 130738897387
Time: 74.63 | Cost: 130701940751
Time: 79.2944 | Cost: 130666836374
Time: 83.9588 | Cost: 130627818995
Time: 88.6232 | Cost: 130585350195
Time: 93.2876 | Cost: 130547275052
Time: 97.9521 | Cost: 130515140641
Time: 102.616 | Cost: 130475986844
Time: 107.281 | Cost: 130446294774
Time: 111.945 | Cost: 130417584233
Time: 116.61 | Cost: 130389569246
Time: 121.274 | Cost: 130355549979
Time: 125.938 | Cost: 130328909303
Time: 130.603 | Cost: 130302631875
Time: 135.267 | Cost: 130270444134
Time: 139.932 | Cost: 130245455565
Time: 144.596 | Cost: 130221530575
Time: 149.26 | Cost: 130198250919
Time: 153.925 | Cost: 130169889107
Time: 158.589 | Cost: 130147677610
Time: 163.254 | Cost: 130126047279
Time: 167.918 | Cost: 130100098892
Time: 172.582 | Cost: 130080216755
Time: 177.247 | Cost: 130060786941
Time: 181.911 | Cost: 130041561676
Time: 186.576 | Cost: 130018084895
Time: 191.24 | Cost: 129999713108
Time: 195.905 | Cost: 129981632053
Time: 200.569 | Cost: 129959359954
Time: 205.233 | Cost: 129941786826
Time: 209.898 | Cost: 129921584729

========================================
DATASET: ../TSPLIB/usa13509.tsp
NEW RUN STARTED: Tue Jun 30 08:02:21 2026
========================================
Time: 0.0000 | Cost: 131662124339
Time: 4.66446 | Cost: 131537469340
Time: 9.32888 | Cost: 131424515926
Time: 13.9932 | Cost: 131326573460
Time: 18.6576 | Cost: 131263510408
Time: 23.322 | Cost: 131192810217
Time: 27.9864 | Cost: 131126598075
Time: 32.6508 | Cost: 131063435427
Time: 37.3151 | Cost: 131014753768
Time: 41.9797 | Cost: 130957410990
Time: 46.6442 | Cost: 130898462756
Time: 51.3087 | Cost: 130846281708
Time: 55.9732 | Cost: 130806070255
Time: 60.6377 | Cost: 130757712440
Time: 65.3021 | Cost: 130711037271
Time: 69.9665 | Cost: 130675560416
Time: 74.6308 | Cost: 130627818995
Time: 79.2952 | Cost: 130585350195
Time: 83.9596 | Cost: 130539227835
Time: 88.6241 | Cost: 130499230232
Time: 93.2884 | Cost: 130468504872
Time: 97.9529 | Cost: 130431747708
Time: 102.617 | Cost: 130396488565
Time: 107.282 | Cost: 130362227563
Time: 111.946 | Cost: 130335559265
Time: 116.61 | Cost: 130302631875
Time: 121.275 | Cost: 130270444134
Time: 125.939 | Cost: 130239398515
Time: 130.604 | Cost: 130209839623
Time: 135.268 | Cost: 130186822375
Time: 139.932 | Cost: 130158746294
Time: 144.597 | Cost: 130131411730
