Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
berlin52,52,ROAR,154211,146411,7.94831
st70,70,ROAR,22916,20557,8.00561
kroA100,100,ROAR,1205980,992021,8.83951
pr107,107,ROAR,2126115,2029807,8.12506
ch150,150,ROAR,501232,467588,15.7761
d198,198,ROAR,1339497,1195659,13.7761
ts225,225,ROAR,14292016,13252714,10.0533
a280,280,ROAR,402456,350740,37.0999
pcb442,442,ROAR,10834987,10487048,22.5951
att532,532,ROAR,7837343,6036304,15.5406
rat783,783,ROAR,3832339,3378257,59.9514
dsj1000,1000,ROAR,9844947017,8061373807,81.0288
u1432,1432,ROAR,118814766,109685511,91.2907
d1655,1655,ROAR,53779778,48664192,105.954
pr2392,2392,ROAR,502232250,443186821,112.655
pcb3038,3038,ROAR,228041206,205244859,118.528
fnl4461,4461,ROAR,439011576,403611986,131.464
rl5934,5934,ROAR,1726484511,1577719983,144.856
pla7397,7397,ROAR,105311697001,69873921426,158.155
rl11849,11849,ROAR,5968299954,5396488120,198.63
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
berlin52,52,ROAR,154211,146411,7.94777
st70,70,ROAR,22916,20557,8.00597
kroA100,100,ROAR,1205980,1033771,8.10309
pr107,107,ROAR,2126115,2031004,8.1253
ch150,150,ROAR,501232,460481,9.76649
d198,198,ROAR,1339497,1201148,9.18464
ts225,225,ROAR,14292016,13258005,9.27932
a280,280,ROAR,402456,352489,22.8912
pcb442,442,ROAR,10834987,10488350,17.5746
att532,532,ROAR,7837343,5836679,47.4764
rat783,783,ROAR,3832339,3404299,72.141
dsj1000,1000,ROAR,9844947017,8201799454,34.0286
u1432,1432,ROAR,118814766,109328581,103.928
d1655,1655,ROAR,53779778,48585396,105.954
pr2392,2392,ROAR,502232250,442265745,112.655
pcb3038,3038,ROAR,228041206,205306597,118.528
fnl4461,4461,ROAR,439011576,400605363,131.464
rl5934,5934,ROAR,1726484511,1599181678,144.856
pla7397,7397,ROAR,105311697001,68653363352,158.156
rl11849,11849,ROAR,5968299954,5381264663,198.628
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
berlin52,52,ROAR,154211,145140,7.94772
st70,70,ROAR,22916,20557,10.1895
kroA100,100,ROAR,1205980,992021,10.3125
pr107,107,ROAR,2126115,2029412,12.5572
ch150,150,ROAR,501232,445759,15.0248
d198,198,ROAR,1339497,1212966,9.94944
ts225,225,ROAR,14292016,13462137,8.50609
a280,280,ROAR,402456,355072,18.9441
pcb442,442,ROAR,10834987,10469129,18.413
att532,532,ROAR,7837343,5860911,23.308
rat783,783,ROAR,3832339,3392076,31.864
dsj1000,1000,ROAR,9844947017,8079847888,98.0421
u1432,1432,ROAR,118814766,109514104,103.927
d1655,1655,ROAR,53779778,48357631,104.927
pr2392,2392,ROAR,502232250,444030916,112.655
pcb3038,3038,ROAR,228041206,204714316,118.528
fnl4461,4461,ROAR,439011576,403432160,131.464
rl5934,5934,ROAR,1726484511,1586475128,144.855
pla7397,7397,ROAR,105311697001,68566577148,158.156
rl11849,11849,ROAR,5968299954,5366275775,198.628
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
berlin52,52,ROAR,154211,145140,8.67022
st70,70,ROAR,22916,20557,8.00609
kroA100,100,ROAR,1205980,1032806,9.58041
pr107,107,ROAR,2126115,2029807,8.12964
ch150,150,ROAR,501232,460481,11.2687
d198,198,ROAR,1339497,1203388,8.41854
ts225,225,ROAR,14292016,13303130,8.50604
a280,280,ROAR,402456,352046,14.9975
pcb442,442,ROAR,10834987,10416845,28.4596
att532,532,ROAR,7837343,5948192,19.8642
rat783,783,ROAR,3832339,3408642,35.6094
dsj1000,1000,ROAR,9844947017,8152158982,55.0277
u1432,1432,ROAR,118814766,109536603,103.927
d1655,1655,ROAR,53779778,48703140,105.954
pr2392,2392,ROAR,502232250,443123551,112.657
pcb3038,3038,ROAR,228041206,206625910,118.528
fnl4461,4461,ROAR,439011576,401688491,131.464
rl5934,5934,ROAR,1726484511,1599075227,144.855
pla7397,7397,ROAR,105311697001,68021474943,158.156
rl11849,11849,ROAR,5968299954,5404817101,198.629
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
berlin52,52,ROAR,154211,145140,7.94748
st70,70,ROAR,22916,20557,8.73362
kroA100,100,ROAR,1205980,1036584,8.1058
pr107,107,ROAR,2126115,2029807,8.12577
ch150,150,ROAR,501232,467167,10.518
d198,198,ROAR,1339497,1198041,11.4801
ts225,225,ROAR,14292016,13258005,9.27942
a280,280,ROAR,402456,357307,12.6296
pcb442,442,ROAR,10834987,10442872,21.765
att532,532,ROAR,7837343,5792942,56.1169
rat783,783,ROAR,3832339,3414431,20.6121
dsj1000,1000,ROAR,9844947017,8066131806,69.0305
u1432,1432,ROAR,118814766,109994940,103.927
d1655,1655,ROAR,53779778,48205003,52.4745
pr2392,2392,ROAR,502232250,442765602,112.655
pcb3038,3038,ROAR,228041206,205573171,118.528
fnl4461,4461,ROAR,439011576,403809936,131.464
rl5934,5934,ROAR,1726484511,1581001547,144.855
pla7397,7397,ROAR,105311697001,69825011471,158.155
rl11849,11849,ROAR,5968299954,5361399491,198.629
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
berlin52,52,ROAR,154211,146411,7.94799
st70,70,ROAR,22916,20557,8.00569
kroA100,100,ROAR,1205980,1032806,14.7321
pr107,107,ROAR,2126115,2029412,8.12518
ch150,150,ROAR,501232,460481,12.7707
d198,198,ROAR,1339497,1195659,13.7755
ts225,225,ROAR,14292016,13298566,12.3717
a280,280,ROAR,402456,349603,35.5244
pcb442,442,ROAR,10834987,10449003,23.4339
att532,532,ROAR,7837343,5814321,37.1278
rat783,783,ROAR,3832339,3363822,56.2106
dsj1000,1000,ROAR,9844947017,8016496099,44.0241
u1432,1432,ROAR,118814766,109914328,75.5181
d1655,1655,ROAR,53779778,48630934,105.955
pr2392,2392,ROAR,502232250,445524148,112.654
pcb3038,3038,ROAR,228041206,206382112,118.528
fnl4461,4461,ROAR,439011576,401807636,131.464
rl5934,5934,ROAR,1726484511,1579559079,144.855
pla7397,7397,ROAR,105311697001,69759911372,158.155
rl11849,11849,ROAR,5968299954,5426864221,198.629
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
berlin52,52,ROAR,154211,145140,7.95231
st70,70,ROAR,22916,21249,11.645
kroA100,100,ROAR,1205980,1032806,18.4161
pr107,107,ROAR,2126115,2031004,8.12513
ch150,150,ROAR,501232,451253,18.0297
d198,198,ROAR,1339497,1195659,9.95199
ts225,225,ROAR,14292016,13314210,8.50604
a280,280,ROAR,402456,357006,18.1561
pcb442,442,ROAR,10834987,10430643,11.7167
att532,532,ROAR,7837343,5881242,33.6871
rat783,783,ROAR,3832339,3375558,59.0183
dsj1000,1000,ROAR,9844947017,8006536101,81.0239
u1432,1432,ROAR,118814766,109702229,83.3974
d1655,1655,ROAR,53779778,48611140,58.4343
pr2392,2392,ROAR,502232250,440971944,112.655
pcb3038,3038,ROAR,228041206,205673688,118.528
fnl4461,4461,ROAR,439011576,404691631,131.463
rl5934,5934,ROAR,1726484511,1590443179,144.855
pla7397,7397,ROAR,105311697001,70811645087,158.155
rl11849,11849,ROAR,5968299954,5337356337,198.629
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
berlin52,52,ROAR,154211,145140,7.98196
st70,70,ROAR,22916,20557,8.00566
kroA100,100,ROAR,1205980,992021,8.10269
pr107,107,ROAR,2126115,2029412,11.8279
ch150,150,ROAR,501232,452968,12.7709
d198,198,ROAR,1339497,1196178,10.7142
ts225,225,ROAR,14292016,13302886,8.50563
a280,280,ROAR,402456,352344,37.0986
pcb442,442,ROAR,10834987,10456569,16.7375
att532,532,ROAR,7837343,5811584,40.5708
rat783,783,ROAR,3832339,3393675,35.5982
dsj1000,1000,ROAR,9844947017,8095760800,47.0215
u1432,1432,ROAR,118814766,109054529,103.927
d1655,1655,ROAR,53779778,48443649,105.954
pr2392,2392,ROAR,502232250,445715962,112.655
pcb3038,3038,ROAR,228041206,205069313,118.528
fnl4461,4461,ROAR,439011576,403095004,131.464
rl5934,5934,ROAR,1726484511,1594977934,144.855
pla7397,7397,ROAR,105311697001,68939374502,158.157
rl11849,11849,ROAR,5968299954,5353611511,198.63
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
berlin52,52,ROAR,154211,146411,7.94935
st70,70,ROAR,22916,20557,8.00577
kroA100,100,ROAR,1205980,992021,13.2592
pr107,107,ROAR,2126115,2029807,8.13711
ch150,150,ROAR,501232,460359,10.5172
d198,198,ROAR,1339497,1203907,8.41863
ts225,225,ROAR,14292016,13273566,9.27882
a280,280,ROAR,402456,362656,10.2646
pcb442,442,ROAR,10834987,10439199,28.4627
att532,532,ROAR,7837343,5882695,22.4443
rat783,783,ROAR,3832339,3400477,48.7228
dsj1000,1000,ROAR,9844947017,8106129349,81.0345
u1432,1432,ROAR,118814766,109293710,91.4958
d1655,1655,ROAR,53779778,48299596,86.1704
pr2392,2392,ROAR,502232250,446628887,112.655
pcb3038,3038,ROAR,228041206,206236098,118.528
fnl4461,4461,ROAR,439011576,402368580,131.465
rl5934,5934,ROAR,1726484511,1582814200,144.856
pla7397,7397,ROAR,105311697001,68545216796,158.156
rl11849,11849,ROAR,5968299954,5409134330,198.631
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
berlin52,52,ROAR,154211,145140,7.94789
st70,70,ROAR,22916,21271,8.00581
kroA100,100,ROAR,1205980,1036643,8.1028
pr107,107,ROAR,2126115,2029807,8.12562
ch150,150,ROAR,501232,452968,11.269
d198,198,ROAR,1339497,1195659,21.4283
ts225,225,ROAR,14292016,13246388,9.27882
a280,280,ROAR,402456,351693,21.3164
pcb442,442,ROAR,10834987,10415989,33.4725
att532,532,ROAR,7837343,5817174,19.8578
rat783,783,ROAR,3832339,3414021,40.2812
dsj1000,1000,ROAR,9844947017,8095639297,62.0215
u1432,1432,ROAR,118814766,110594180,64.2435
d1655,1655,ROAR,53779778,48544060,94.2
pr2392,2392,ROAR,502232250,445191362,112.655
pcb3038,3038,ROAR,228041206,206139812,118.528
fnl4461,4461,ROAR,439011576,403208152,131.464
rl5934,5934,ROAR,1726484511,1594660002,144.855
pla7397,7397,ROAR,105311697001,70884946214,158.156
rl11849,11849,ROAR,5968299954,5438628432,198.63
