Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
berlin52,52,ROAR_trivialCombination,154211,146411,9.47512
st70,70,ROAR_trivialCombination,22916,21655,8.11486
kroA100,100,ROAR_trivialCombination,1205980,1034434,8.13247
pr107,107,ROAR_trivialCombination,2126115,2029807,8.12998
ch150,150,ROAR_trivialCombination,501232,474012,9.06949
d198,198,ROAR_trivialCombination,1339497,1196575,8.43941
ts225,225,ROAR_trivialCombination,14292016,13465175,8.54152
a280,280,ROAR_trivialCombination,402456,364341,15.8449
pcb442,442,ROAR_trivialCombination,10834987,10546042,16.7963
att532,532,ROAR_trivialCombination,7837343,5905349,23.3322
rat783,783,ROAR_trivialCombination,3832339,3404704,49.7988
dsj1000,1000,ROAR_trivialCombination,9844947017,8202685311,32.2844
u1432,1432,ROAR_trivialCombination,118814766,109746875,103.931
d1655,1655,ROAR_trivialCombination,53779778,48950826,38.2532
pr2392,2392,ROAR_trivialCombination,502232250,446375908,112.655
pcb3038,3038,ROAR_trivialCombination,228041206,206769685,118.529
fnl4461,4461,ROAR_trivialCombination,439011576,404241310,131.465
rl5934,5934,ROAR_trivialCombination,1726484511,1596961337,144.877
pla7397,7397,ROAR_trivialCombination,105311697001,72284140943,158.157
rl11849,11849,ROAR_trivialCombination,5968299954,5612074031,198.629
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
berlin52,52,ROAR_trivialCombination,154211,146411,13.7773
st70,70,ROAR_trivialCombination,22916,21655,8.05088
kroA100,100,ROAR_trivialCombination,1205980,1034434,8.22945
pr107,107,ROAR_trivialCombination,2126115,2029807,8.16439
ch150,150,ROAR_trivialCombination,501232,456482,21.1562
d198,198,ROAR_trivialCombination,1339497,1201672,13.8396
ts225,225,ROAR_trivialCombination,14292016,13498171,8.54379
a280,280,ROAR_trivialCombination,402456,364170,27.7775
pcb442,442,ROAR_trivialCombination,10834987,10490299,31.2695
att532,532,ROAR_trivialCombination,7837343,5944799,33.8529
rat783,783,ROAR_trivialCombination,3832339,3396699,61.1285
dsj1000,1000,ROAR_trivialCombination,9844947017,8128227518,100.006
u1432,1432,ROAR_trivialCombination,118814766,109963988,103.928
d1655,1655,ROAR_trivialCombination,53779778,48967379,42.9818
pr2392,2392,ROAR_trivialCombination,502232250,448450372,112.656
pcb3038,3038,ROAR_trivialCombination,228041206,205806178,118.528
fnl4461,4461,ROAR_trivialCombination,439011576,405639700,131.464
rl5934,5934,ROAR_trivialCombination,1726484511,1599739344,144.856
pla7397,7397,ROAR_trivialCombination,105311697001,72117645660,158.157
rl11849,11849,ROAR_trivialCombination,5968299954,5588873525,198.632
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
berlin52,52,ROAR_trivialCombination,154211,146411,14.5198
st70,70,ROAR_trivialCombination,22916,21655,8.84309
kroA100,100,ROAR_trivialCombination,1205980,1003549,11.8651
pr107,107,ROAR_trivialCombination,2126115,2029807,8.14217
ch150,150,ROAR_trivialCombination,501232,474012,10.6381
d198,198,ROAR_trivialCombination,1339497,1204439,10.8444
ts225,225,ROAR_trivialCombination,14292016,13491414,8.52086
a280,280,ROAR_trivialCombination,402456,366077,9.49751
pcb442,442,ROAR_trivialCombination,10834987,10494099,14.2571
att532,532,ROAR_trivialCombination,7837343,5907231,37.1715
rat783,783,ROAR_trivialCombination,3832339,3425782,28.2906
dsj1000,1000,ROAR_trivialCombination,9844947017,8221057684,80.2089
