Dataset,Nodes,Method,Average_Cost,Average_Runtime
berlin52,52.0,ROAR_trivialCombination,146411.0,11.473058
st70,70.0,ROAR_trivialCombination,21655.0,8.442967
kroA100,100.0,ROAR_trivialCombination,1019620.6,10.436294
pr107,107.0,ROAR_trivialCombination,2029767.5,8.318062999999999
ch150,150.0,ROAR_trivialCombination,468964.1,14.059605000000001
d198,198.0,ROAR_trivialCombination,1201892.5,10.918113
ts225,225.0,ROAR_trivialCombination,13499244.2,8.540628
a280,280.0,ROAR_trivialCombination,363633.6,18.816451
pcb442,442.0,ROAR_trivialCombination,10522507.7,21.03551
att532,532.0,ROAR_trivialCombination,5924860.3,31.05933
rat783,783.0,ROAR_trivialCombination,3405975.8,38.40014
dsj1000,1000.0,ROAR_trivialCombination,8166636663.1,62.92912
u1432,1432.0,ROAR_trivialCombination,110027945.2,96.9274
d1655,1655.0,ROAR_trivialCombination,48912057.2,66.98971
pr2392,2392.0,ROAR_trivialCombination,446183029.6,109.18131000000001
pcb3038,3038.0,ROAR_trivialCombination,206037111.1,118.53020000000001
fnl4461,4461.0,ROAR_trivialCombination,404306954.7,131.4649
rl5934,5934.0,ROAR_trivialCombination,1599455855.1,144.8597
pla7397,7397.0,ROAR_trivialCombination,71918268007.4,158.1597
rl11849,11849.0,ROAR_trivialCombination,5613322118.8,198.6393
