datasets name,average loops,min-loop,max loop,stdev
mona-lisa100K,242.10,234,252,6.37
courbet180K,101.70,95,110,4.62
dan59296,275.00,264,296,10.01
ics39603,294.80,282,312,10.54
venus140K,153.30,142,164,6.72
earring200K,81.20,77,90,4.18
pla85900,232.00,203,245,12.84
pba38478,297.00,289,311,7.66
pareja160K,122.00,108,132,7.15
xib32892,315.10,287,335,14.65
vangogh120K,190.30,174,210,10.60
berlin52,117284.40,114256,127545,3925.16
st70,73981.70,67488,100403,10970.88
kroA100,44680.70,33256,76349,14823.50
pr107,31428.70,28192,44478,6093.78
ch150,23634.00,18057,33603,4930.50
d198,12251.20,8888,22333,4063.01
ts225,7633.80,6885,10173,971.83
a280,12113.30,5257,19801,5417.59
pcb442,4704.50,2528,7099,1368.12
att532,3989.10,1922,7155,1721.87
rat783,3111.40,1377,4865,1066.73
dsj1000,2513.50,1310,3807,784.61
u1432,1853.10,1310,2096,276.82
d1655,1532.00,870,1805,357.28
pr2392,1256.70,1229,1291,20.22
pcb3038,1044.40,1016,1068,16.52
fnl4461,778.20,757,803,15.33
rl5934,643.90,625,663,12.71
pla7397,514.90,503,531,9.56
rl11849,437.20,412,457,13.51
fma21553,330.80,315,347,9.99
usa13509,397.30,379,405,8.04
lsb22777,318.80,290,337,14.20
pla33810,266.30,252,278,6.95
boa28924,299.50,287,311,9.02
bbz25234,310.20,300,320,8.13
