Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
mona-lisa100K,100000,ROAR,295307514139,269642153101,1000.01
courbet180K,180000,ROAR,763874397625,723939833138,1000.03
dan59296,59296,ROAR,5410586201,4996899304,629.975
ics39603,39603,ROAR,2346805622,2164821504,450.946
venus140K,140000,ROAR,493570418471,457890911327,1000.03
earring200K,200000,ROAR,874987915462,820371660206,1000.06
pla85900,85900,ROAR,6468720623370,6208666684627,871.83
pba38478,38478,ROAR,2357478455,2133463642,440.717
pareja160K,160000,ROAR,662285196748,629744018648,1000.03
xib32892,32892,ROAR,1714631420,1550873749,389.933
vangogh120K,120000,ROAR,415291522515,389329064252,1000.02
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
mona-lisa100K,100000,ROAR,295307514139,271507913530,1000.03
courbet180K,180000,ROAR,763874397625,722523714546,1000.02
dan59296,59296,ROAR,5410586201,5008029063,629.971
ics39603,39603,ROAR,2346805622,2175615484,450.942
venus140K,140000,ROAR,493570418471,458170954680,1000.03
earring200K,200000,ROAR,874987915462,820080141634,1000.03
pla85900,85900,ROAR,6468720623370,6212215246870,871.841
pba38478,38478,ROAR,2357478455,2132335049,440.712
pareja160K,160000,ROAR,662285196748,628577377644,1000.04
xib32892,32892,ROAR,1714631420,1545117629,389.93
vangogh120K,120000,ROAR,415291522515,389722080806,1000.01
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
mona-lisa100K,100000,ROAR,295307514139,270896700841,1000.01
courbet180K,180000,ROAR,763874397625,722447719073,1000.03
dan59296,59296,ROAR,5410586201,5006387050,629.968
ics39603,39603,ROAR,2346805622,2155906620,450.94
venus140K,140000,ROAR,493570418471,457260402640,1000.03
earring200K,200000,ROAR,874987915462,819432553720,1000.02
pla85900,85900,ROAR,6468720623370,6226468868213,871.832
pba38478,38478,ROAR,2357478455,2119823824,440.716
pareja160K,160000,ROAR,662285196748,628817223943,1000.03
xib32892,32892,ROAR,1714631420,1536193218,389.931
vangogh120K,120000,ROAR,415291522515,389293718388,1000.01
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
mona-lisa100K,100000,ROAR,295307514139,272892209610,1000.03
courbet180K,180000,ROAR,763874397625,722339495838,1000.04
dan59296,59296,ROAR,5410586201,5011112698,629.973
ics39603,39603,ROAR,2346805622,2156295846,450.943
venus140K,140000,ROAR,493570418471,458858520925,1000.02
earring200K,200000,ROAR,874987915462,822997740483,1000.05
pla85900,85900,ROAR,6468720623370,6207940908660,871.846
pba38478,38478,ROAR,2357478455,2124769075,440.715
pareja160K,160000,ROAR,662285196748,629471131325,1000.04
xib32892,32892,ROAR,1714631420,1539152966,389.935
vangogh120K,120000,ROAR,415291522515,388289642801,1000.03
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
mona-lisa100K,100000,ROAR,295307514139,270944352535,1000.03
courbet180K,180000,ROAR,763874397625,724157670594,1000.02
dan59296,59296,ROAR,5410586201,5000261476,629.979
ics39603,39603,ROAR,2346805622,2148251752,450.939
venus140K,140000,ROAR,493570418471,456458204816,1000.01
earring200K,200000,ROAR,874987915462,823666075960,1000.03
pla85900,85900,ROAR,6468720623370,6217306633101,871.836
pba38478,38478,ROAR,2357478455,2135069844,440.714
pareja160K,160000,ROAR,662285196748,632035498845,1000.01
xib32892,32892,ROAR,1714631420,1543951571,389.933
vangogh120K,120000,ROAR,415291522515,389781205923,1000.01
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
mona-lisa100K,100000,ROAR,295307514139,270824721614,1000.03
courbet180K,180000,ROAR,763874397625,724133387991,1000.04
dan59296,59296,ROAR,5410586201,4979688864,629.977
ics39603,39603,ROAR,2346805622,2155838075,450.945
venus140K,140000,ROAR,493570418471,458883008047,1000.02
earring200K,200000,ROAR,874987915462,822812798905,1000.04
pla85900,85900,ROAR,6468720623370,6221693163840,871.835
pba38478,38478,ROAR,2357478455,2132884274,440.714
pareja160K,160000,ROAR,662285196748,628140308834,1000.04
xib32892,32892,ROAR,1714631420,1548123084,389.935
vangogh120K,120000,ROAR,415291522515,389548040179,1000.01
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
mona-lisa100K,100000,ROAR,295307514139,270328690353,1000.03
courbet180K,180000,ROAR,763874397625,720243791164,1000.05
dan59296,59296,ROAR,5410586201,4987477827,629.968
ics39603,39603,ROAR,2346805622,2165961386,450.946
venus140K,140000,ROAR,493570418471,458080920118,1000.02
earring200K,200000,ROAR,874987915462,825002597932,1000.02
pla85900,85900,ROAR,6468720623370,6199790820222,871.825
pba38478,38478,ROAR,2357478455,2125939612,440.719
pareja160K,160000,ROAR,662285196748,627598386831,1000.03
xib32892,32892,ROAR,1714631420,1547504970,389.936
vangogh120K,120000,ROAR,415291522515,389812927146,1000.01
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
mona-lisa100K,100000,ROAR,295307514139,269862565863,1000.01
