Dataset,Nodes,GILS-RVND_AvgCost,GILS-RVND_AvgTime(s),ROAR_AvgCost,ROAR_AvgTime(s),PDLSH_AvgCost,PDLSH_AvgTime(s)
berlin52,52,143721.0000,0.1000,145648.4000,8.0241,148325.0000,0.0046
st70,70,20557.0000,0.3000,20697.6000,8.6609,22083.0000,0.0058
kroA100,100,983128.0000,1.3100,1017350.0000,10.7554,1025550.0000,0.0106
pr107,107,2028019.0000,1.2300,2029927.9000,8.9404,2030215.0000,0.0084
ch150,150,444424.0000,4.3100,457950.5000,12.7712,487091.0000,0.0079
d198,198,1186086.2000,11.9600,1199826.4000,11.7097,1234176.0000,0.0341
ts225,225,13242481.0000,9.2700,13296960.7000,9.3565,13792515.0000,0.0244
a280,280,347154.8000,43.5200,354095.6000,22.8922,368181.0000,0.0739
pcb442,442,10331550.6000,100.0000,10449564.7000,22.2631,10727633.0000,0.0903
att532,532,5643884.8000,100.0000,5868204.4000,31.5994,6264635.0000,0.8693
rat783,783,3341326.7000,100.0000,3394525.8000,46.0009,3469295.0000,1.8817
dsj1000,1000,7952652013.7000,100.0000,8088187358.3000,65.2283,8671017559.0000,5.1374
u1432,1432,108233564.1000,103.9000,109661871.5000,92.5581,112066847.0000,19.7767
d1655,1655,48331214.2000,106.0000,48504474.1000,92.5977,49714769.0000,20.7759
pr2392,2392,444094888.4000,112.7000,443940493.8000,112.6551,465844585.0000,112.9869
pcb3038,3038,205537063.1000,118.5000,205696587.6000,118.5280,212368149.0000,120.1406
fnl4461,4461,412521575.1000,131.5000,402831893.9000,131.4640,422897147.0000,131.7719
rl5934,5934,1630634056.3000,144.9000,1588590795.7000,144.8553,1677806701.0000,155.0317
pla7397,7397,74927016420.6000,158.2000,69388144231.1000,158.1557,79658590301.0000,178.7595
rl11849,11849,5772559735.9000,198.7000,5387583998.1000,198.6293,5912432670.5000,199.4469
