Dataset,Nodes,GILS-RVND_AvgCost,GILS-RVND_AvgTime(s),ROAR_AvgCost,ROAR_AvgTime(s),PDLSH_AvgCost,PDLSH_AvgTime(s),ROAR_trivialCombination_AvgCost,ROAR_trivialCombination_AvgTime(s)
berlin52,52,143721.0,0.1,145648.4,8.0241,148325.0,0.0046,146411.0,11.473058
st70,70,20557.0,0.3,20697.6,8.6609,22083.0,0.0058,21655.0,8.442967
kroA100,100,983128.0,1.31,1017350.0,10.7554,1025550.0,0.0106,1019620.6,10.436294
pr107,107,2028019.0,1.23,2029927.9,8.9404,2030215.0,0.0084,2029767.5,8.318062999999999
ch150,150,444424.0,4.31,457950.5,12.7712,487091.0,0.0079,468964.1,14.059605
d198,198,1186086.2,11.96,1199826.4,11.7097,1234176.0,0.0341,1201892.5,10.918113
ts225,225,13242481.0,9.27,13296960.7,9.3565,13792515.0,0.0244,13499244.2,8.540628
a280,280,347154.8,43.52,354095.6,22.8922,368181.0,0.0739,363633.6,18.816451
pcb442,442,10331550.6,100.0,10449564.7,22.2631,10727633.0,0.0903,10522507.7,21.03551
att532,532,5643884.8,100.0,5868204.4,31.5994,6264635.0,0.8693,5924860.3,31.05933
rat783,783,3341326.7,100.0,3394525.8,46.0009,3469295.0,1.8817,3405975.8,38.40014
dsj1000,1000,7952652013.7,100.0,8088187358.3,65.2283,8671017559.0,5.1374,8166636663.1,62.92912
u1432,1432,108233564.1,103.9,109661871.5,92.5581,112066847.0,19.7767,110027945.2,96.9274
d1655,1655,48331214.2,106.0,48504474.1,92.5977,49714769.0,20.7759,48912057.2,66.98971
pr2392,2392,444094888.4,112.7,443940493.8,112.6551,465844585.0,112.9869,446183029.6,109.18131
pcb3038,3038,205537063.1,118.5,205696587.6,118.528,212368149.0,120.1406,206037111.1,118.5302
fnl4461,4461,412521575.1,131.5,402831893.9,131.464,422897147.0,131.7719,404306954.7,131.4649
rl5934,5934,1630634056.3,144.9,1588590795.7,144.8553,1677806701.0,155.0317,1599455855.1,144.8597
pla7397,7397,74927016420.6,158.2,69388144231.1,158.1557,79658590301.0,178.7595,71918268007.4,158.1597
rl11849,11849,5772559735.9,198.7,5387583998.1,198.6293,5912432670.5,199.4469,5613322118.8,198.6393
