Dataset,Nodes,GILS-RVND_AvgCost,GILS-RVND_AvgTime(s),ROAR_AvgCost,ROAR_AvgTime(s),PDLSH_AvgCost,PDLSH_AvgTime(s),Gap_PDLSH_vs_ROAR (%),Gap_GILS-RVND_vs_ROAR (%)
berlin52,52,143721.0,0.1,145648.4,8.0241,148325.0,0.0046,1.837713287615934,-1.3233238401520333
st70,70,20557.0,0.3,20697.6,8.6609,22083.0,0.0058,6.693529684601121,-0.6793058132343777
kroA100,100,983128.0,1.31,1017350.0,10.7554,1025550.0,0.0106,0.8060156288396323,-3.363837420749988
pr107,107,2028019.0,1.23,2029927.9,8.9404,2030215.0,0.0084,0.014143359475974154,-0.09403782272266453
ch150,150,444424.0,4.31,457950.5,12.7712,487091.0,0.0079,6.363242315490429,-2.953703511624073
d198,198,1186086.2,11.96,1199826.4,11.7097,1234176.0,0.0341,2.8628808300934283,-1.1451823363779923
ts225,225,13242481.0,9.27,13296960.7,9.3565,13792515.0,0.0244,3.726823829749311,-0.4097154321889456
a280,280,347154.8,43.52,354095.6,22.8922,368181.0,0.0739,3.9778523088115256,-1.9601486152327194
pcb442,442,10331550.6,100.0,10449564.7,22.2631,10727633.0,0.0903,2.6610515172943114,-1.1293685755158742
att532,532,5643884.8,100.0,5868204.4,31.5994,6264635.0,0.8693,6.755569045958924,-3.8226275826384057
rat783,783,3341326.7,100.0,3394525.8,46.0009,3469295.0,1.8817,2.2026404984166033,-1.5672027003005728
dsj1000,1000,7952652013.7,100.0,8088187358.3,65.2283,8671017559.0,5.1374,7.205943370017344,-1.6757196463916681
u1432,1432,108233564.1,103.9,109661871.5,92.5581,112066847.0,19.7767,2.193082670488621,-1.3024649137052215
d1655,1655,48331214.2,106.0,48504474.1,92.5977,49714769.0,20.7759,2.495223219006097,-0.3572039553357378
pr2392,2392,444094888.4,112.7,443940493.8,112.6551,465844585.0,112.9869,4.9340151452523315,0.03477821963894122
pcb3038,3038,205537063.1,118.5,205696587.6,118.528,212368149.0,120.1406,3.2433991627384717,-0.07755330404907505
fnl4461,4461,412521575.1,131.5,402831893.9,131.464,422897147.0,131.7719,4.981048770925043,2.4053907713686242
rl5934,5934,1630634056.3,144.9,1588590795.7,144.8553,1677806701.0,155.0317,5.616040678410683,2.6465758654653335
pla7397,7397,74927016420.6,158.2,69388144231.1,158.1557,79658590301.0,178.7595,14.801442211357982,7.98244750724643
rl11849,11849,5772559735.9,198.7,5387583998.1,198.6293,5912432670.5,199.4469,9.74181882983345,7.145609941965931
